Computing Topics,Context Topics,Libraries Used,Language,Level,Last Updated,Resource Link,Source Institution
"programmatic arithmetic, using variables","calculate cost of purchases, tax, entrepreneurship",,Python,CS1,2023,https://colab.research.google.com/drive/1hDc7mFYqFKmuHZFxBI6Wmbko0aV7gocT?authuser=2,Stony Brook University
"programmatic arithmetic, using variables",calculate monthly lease payment for a car,,Python,CS1,2023,https://colab.research.google.com/drive/1g5R7yHZ8JZoEC8cBNPg_bmaYct-6hEty?authuser=2,Stony Brook University
"programmatic arithmetic, using variables, unit conversion",calculate time to fill a car's gas tank,,Python,CS1,2023,https://colab.research.google.com/drive/1yduCM27PE_hY2iR-Ty2IH8VZYDou7Y8h?authuser=2,Stony Brook University
"programmatic arithmetic, using variables",calculate calories burned when excercising,,Python,CS1,2023,https://colab.research.google.com/drive/1EOkyYItM08l6d_hOvqm-6O6meSsSrvO8?authuser=2,Stony Brook University
"programmatic arithmetic, using variables","geometry, cemetery headstones",math,Python,CS1,2023,https://colab.research.google.com/drive/1JydLf4di0o5cu606jRGwoiDhIo5RkqZV?authuser=2,Stony Brook University
"programmatic arithmetic, using variables, unit conversion","compute basal metabolic rate, health, medical, biology",,Python,CS1,2023,https://colab.research.google.com/drive/1roIrozam_cPjtJ6NKZvSEBOUvbOe8bjq?authuser=2,Stony Brook University
programmatically evaluating mathematical expressions,mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/139kc056PTFtgXt6H2WzGI1PRbe5ZkTqI?authuser=2,Stony Brook University
programmatically evaluating mathematical expressions,mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/145zgscHHzhl89W9e9H00VbNAm28tRAaw?authuser=2,Stony Brook University
programmatically evaluating mathematical expressions,mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1WTLnsJQJuVI25GdM35kie0dflKLdmy8E?authuser=2,Stony Brook University
programmatically evaluating mathematical expressions,mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1i7tmFhjubDN9vO93ATnV9zxMsSezgDGk?authuser=2,Stony Brook University
"programmatic arithmetic, using variables","food, local eatery, entrepreneurship",,Python,CS1,2023,https://colab.research.google.com/drive/190WfEXBmCYx4ZjxXGa4rjX53BH8JB8aP?authuser=2,Stony Brook University
"programmatic arithmetic, using variables, unit conversion",calculate car fuel efficiency,,Python,CS1,2023,https://colab.research.google.com/drive/122fVeH11cRVAAfvTenn7I4H57ZZMSSGP?authuser=2,Stony Brook University
"programmatic arithmetic, using variables, unit conversion","calculate cost of gas tank refil, car",,Python,CS1,2023,https://colab.research.google.com/drive/1gk60qbIdO-UJSN6bcGlWJxsdVoOFwwS5?authuser=2,Stony Brook University
"programmatic arithmetic, using variables","geometry, gold, NASA's Mars Explorer, astronomy, robots",math,Python,CS1,2023,https://colab.research.google.com/drive/13okyapuAjHAW9yIV_ZFN2ma5k5vCdSgu?authuser=2,Stony Brook University
"programmatic arithmetic, using variables","geometry, wood, furniture",math,Python,CS1,2023,https://colab.research.google.com/drive/1t_6ycttIeR7HZtXF0wyCDLTCLpeFmuMc?authuser=2,Stony Brook University
"programmatic arithmetic, using variables, unit conversion","cashier, local supermarket, making change",,Python,CS1,2023,https://colab.research.google.com/drive/1Hdl_gE3cWy9Z_mXR9fwb1R-Gw6GvZAMZ?authuser=2,Stony Brook University
"programmatic arithmetic, using variables, unit conversion",ancient Greek currency,,Python,CS1,2023,https://colab.research.google.com/drive/1YVh6E47Z3u2o7jYcR3oyTeWruwTl4W49?authuser=2,Stony Brook University
"programmatic arithmetic, using variables, unit conversion",Olde England currency,,Python,CS1,2023,https://colab.research.google.com/drive/1qsDMuRE9DWP2lk1b_C2uP_P0KIttICmV?authuser=2,Stony Brook University
"programmatic arithmetic, using variables","purchase school supplies, bookfair",,Python,CS1,2023,https://colab.research.google.com/drive/1GbXV7XtpPPtEN1ppd_4o3BOzXAlgyQrr?authuser=2,Stony Brook University
"programmatic arithmetic, using variables","geometry, mechanical parts",math,Python,CS1,2023,https://colab.research.google.com/drive/1pSoiXMPC6i3NvkY_pTMifGVDG4RgqTQy?authuser=2,Stony Brook University
"functions, programmatic arithmetic, unit conversion",car fuel consumption,,Python,CS1,2023,https://colab.research.google.com/drive/1QGUkfrJL3Rn29DoPhRtz-6t0_Uw9xrei?authuser=2,Stony Brook University
"functions, programmatic arithmetic, string formatting",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/17X4JvlhhT6_GdCSdQ263Jhu65PVMCG9o?authuser=2,Stony Brook University
"functions, programmatic arithmetic",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1-nVJEOfR9XOuyKmpQqSjJlawS6uaHVZx?authuser=2,Stony Brook University
"functions, programmatic arithmetic, using variables, string formatting","geometry, volume of mechanical part",math,Python,CS1,2023,https://colab.research.google.com/drive/1MJV2S8smKHFwSAitTeuWaLtdIyD3Bt5e?authuser=2,Stony Brook University
"functions, programmatic arithmetic, unit conversion",calculate running speed,,Python,CS1,2023,https://colab.research.google.com/drive/1v-_U9EiMeDa6Wsxfdm1Ci234e0sHMp9u?authuser=2,Stony Brook University
"functions, programmatic arithmetic, string formatting","geometry, toys",math,Python,CS1,2023,https://colab.research.google.com/drive/1FT4_F_dBpNgobbWcIyOfLnNVaO9HQE9O?authuser=2,Stony Brook University
"functions, programmatic arithmetic",geometry,math,Python,CS1,2023,https://colab.research.google.com/drive/1V2Cap_3TyDQ7D5mUy8R1efRuCMsuG-M-?authuser=2,Stony Brook University
"functions, unit conversion, programmatic arithmetic, string formatting",calculate displacement,,Python,CS1,2023,https://colab.research.google.com/drive/11DSqv6r9GOfKej1KPon5pwIRjcEVE74e?authuser=2,Stony Brook University
